"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.01",119
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.025",126
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.05",133
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.1",142
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.15",149
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.2",153
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.25",156
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.3",158
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.35",160
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.4",163
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.45",165
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.5",168
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.55",171
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.6",173
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.65",176
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.7",179
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.75",181
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.8",184
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.85",188
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.9",196
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.95",207
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.975",215
"Regular Baseline","2026-07-04",-2,"2026-06-20","Adults","quantile","0.99",226
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.01",102
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.025",113
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.05",121
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.1",132
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.15",139
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.2",144
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.25",149
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.3",153
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.35",157
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.4",161
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.45",165
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.5",168
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.55",171
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.6",175
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.65",179
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.7",183
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.75",188
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.8",193
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.85",200
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.9",207
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.95",221
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.975",233
"Regular Baseline","2026-07-04",-1,"2026-06-27","Adults","quantile","0.99",246
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.01",90
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.025",102
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.05",112
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.1",123
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.15",132
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.2",139
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.25",144
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.3",149
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.35",154
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.4",159
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.45",164
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.5",168
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.55",172
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.6",177
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.65",182
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.7",187
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.75",193
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.8",200
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.85",207
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.9",217
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.95",233
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.975",248
"Regular Baseline","2026-07-04",0,"2026-07-04","Adults","quantile","0.99",266
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.01",80
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.025",94
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.05",104
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.1",117
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.15",127
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.2",134
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.25",141
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.3",147
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.35",152
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.4",157
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.45",163
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.5",168
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.55",174
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.6",179
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.65",184
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.7",190
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.75",197
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.8",204
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.85",213
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.9",225
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.95",244
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.975",264
"Regular Baseline","2026-07-04",1,"2026-07-11","Adults","quantile","0.99",283
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.01",74
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.025",86
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.05",97
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.1",112
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.15",122
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.2",130
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.25",138
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.3",144
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.35",151
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.4",157
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.45",163
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.5",168
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.55",174
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.6",180
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.65",186
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.7",193
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.75",200
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.8",209
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.85",219
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.9",232
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.95",255
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.975",275
"Regular Baseline","2026-07-04",2,"2026-07-18","Adults","quantile","0.99",299
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.01",68
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.025",81
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.05",92
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.1",108
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.15",119
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.2",127
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.25",135
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.3",142
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.35",149
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.4",156
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.45",162
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.5",168
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.55",174
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.6",181
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.65",188
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.7",195
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.75",203
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.8",214
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.85",226
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.9",241
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.95",265
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.975",287
"Regular Baseline","2026-07-04",3,"2026-07-25","Adults","quantile","0.99",316
"Regular Baseline","2026-07-04",-2,"2026-06-20","Overall","quantile","0.01",218
