"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.01,75
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.025,86
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.05,97
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.1,116
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.15,122
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.2,127
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.25,130
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.3,132
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.35,133
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.4,134
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.45,137
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.5,140
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.55,142
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.6,144
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.65,146
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.7,147
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.75,149
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.8,156
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.85,161
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.9,169
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.95,191
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.975,215
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.99,235
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.01,74
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.025,86
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.05,96
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.1,116
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.15,124
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.2,129
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.25,132
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.3,134
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.35,137
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.4,137
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.45,138
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.5,141
