"as_of","target","target_end_date","age_group","observation"
"1/12/2026","SARI",1-04-20,"Adults",99
"1/12/2026","SARI",1-04-20,"Overall",197
"1/12/2026","SARI",1-04-20,"Pediatrics",98
"1/12/2026","SARI",1-06-20,"Adults",95
"1/12/2026","SARI",1-06-20,"Overall",160
"1/12/2026","SARI",1-06-20,"Pediatrics",65
"1/12/2026","SARI",1-07-20,"Adults",330
"1/12/2026","SARI",1-07-20,"Overall",448
"1/12/2026","SARI",1-07-20,"Pediatrics",118
"1/12/2026","SARI",1-08-20,"Adults",1023
"1/12/2026","SARI",1-08-20,"Overall",1186
"1/12/2026","SARI",1-08-20,"Pediatrics",163
"1/12/2026","SARI",1-11-20,"Adults",97
"1/12/2026","SARI",1-11-20,"Overall",174
"1/12/2026","SARI",1-11-20,"Pediatrics",77
"1/12/2026","SARI",2-01-20,"Adults",92
"1/12/2026","SARI",2-01-20,"Overall",153
"1/12/2026","SARI",2-01-20,"Pediatrics",61
"1/12/2026","SARI",2-03-20,"Adults",165
"1/12/2026","SARI",2-03-20,"Overall",252
"1/12/2026","SARI",2-03-20,"Pediatrics",87
"1/12/2026","SARI",2-04-20,"Adults",133
"1/12/2026","SARI",2-04-20,"Overall",254
"1/12/2026","SARI",2-04-20,"Pediatrics",121
"1/12/2026","SARI",2-05-20,"Adults",587
"1/12/2026","SARI",2-05-20,"Overall",698
"1/12/2026","SARI",2-05-20,"Pediatrics",111
"1/12/2026","SARI",2-08-20,"Adults",86
"1/12/2026","SARI",2-08-20,"Overall",171
"1/12/2026","SARI",2-08-20,"Pediatrics",85
"1/12/2026","SARI",2-10-20,"Adults",131
"1/12/2026","SARI",2-10-20,"Overall",205
"1/12/2026","SARI",2-10-20,"Pediatrics",74
"1/12/2026","SARI",2-11-20,"Adults",100
"1/12/2026","SARI",2-11-20,"Overall",222
"1/12/2026","SARI",2-11-20,"Pediatrics",122
"1/12/2026","SARI",2-12-20,"Adults",420
"1/12/2026","SARI",2-12-20,"Overall",537
"1/12/2026","SARI",2-12-20,"Pediatrics",117
"1/12/2026","SARI",3-01-20,"Adults",102
"1/12/2026","SARI",3-01-20,"Overall",175
"1/12/2026","SARI",3-01-20,"Pediatrics",73
"1/12/2026","SARI",3-02-20,"Adults",92
"1/12/2026","SARI",3-02-20,"Overall",155
"1/12/2026","SARI",3-02-20,"Pediatrics",63
"1/12/2026","SARI",3-04-20,"Adults",137
"1/12/2026","SARI",3-04-20,"Overall",289
"1/12/2026","SARI",3-04-20,"Pediatrics",152
"1/12/2026","SARI",3-05-20,"Adults",533
"1/12/2026","SARI",3-05-20,"Overall",702
"1/12/2026","SARI",3-05-20,"Pediatrics",169
"1/12/2026","SARI",3-08-20,"Adults",101
"1/12/2026","SARI",3-08-20,"Overall",181
"1/12/2026","SARI",3-08-20,"Pediatrics",80
"1/12/2026","SARI",3-09-20,"Adults",93
"1/12/2026","SARI",3-09-20,"Overall",164
"1/12/2026","SARI",3-09-20,"Pediatrics",71
"1/12/2026","SARI",3-11-20,"Adults",104
"1/12/2026","SARI",3-11-20,"Overall",300
"1/12/2026","SARI",3-11-20,"Pediatrics",196
"1/12/2026","SARI",3-12-20,"Adults",502
"1/12/2026","SARI",3-12-20,"Overall",730
"1/12/2026","SARI",3-12-20,"Pediatrics",228
"1/12/2026","SARI",4-01-20,"Adults",78
"1/12/2026","SARI",4-01-20,"Overall",251
"1/12/2026","SARI",4-01-20,"Pediatrics",173
"1/12/2026","SARI",4-02-20,"Adults",377
"1/12/2026","SARI",4-02-20,"Overall",567
"1/12/2026","SARI",4-02-20,"Pediatrics",190
"1/12/2026","SARI",4-05-20,"Adults",150
"1/12/2026","SARI",4-05-20,"Overall",291
"1/12/2026","SARI",4-05-20,"Pediatrics",141
"1/12/2026","SARI",4-06-20,"Adults",111
"1/12/2026","SARI",4-06-20,"Overall",223
"1/12/2026","SARI",4-06-20,"Pediatrics",112
"1/12/2026","SARI",4-08-20,"Adults",90
"1/12/2026","SARI",4-08-20,"Overall",275
"1/12/2026","SARI",4-08-20,"Pediatrics",185
"1/12/2026","SARI",4-09-20,"Adults",349
"1/12/2026","SARI",4-09-20,"Overall",573
"1/12/2026","SARI",4-09-20,"Pediatrics",224
"1/12/2026","SARI",4-12-20,"Adults",153
"1/12/2026","SARI",4-12-20,"Overall",307
"1/12/2026","SARI",4-12-20,"Pediatrics",154
"1/12/2026","SARI",5-03-20,"Adults",190
"1/12/2026","SARI",5-03-20,"Overall",402
"1/12/2026","SARI",5-03-20,"Pediatrics",212
"1/12/2026","SARI",5-04-20,"Adults",129
"1/12/2026","SARI",5-04-20,"Overall",287
"1/12/2026","SARI",5-04-20,"Pediatrics",158
"1/12/2026","SARI",5-06-20,"Adults",102
"1/12/2026","SARI",5-06-20,"Overall",484
"1/12/2026","SARI",5-06-20,"Pediatrics",382
"1/12/2026","SARI",5-07-20,"Adults",312
"1/12/2026","SARI",5-07-20,"Overall",613
"1/12/2026","SARI",5-07-20,"Pediatrics",301
"1/12/2026","SARI",5-10-20,"Adults",202
"1/12/2026","SARI",5-10-20,"Overall",408
"1/12/2026","SARI",5-10-20,"Pediatrics",206
"1/12/2026","SARI",5-11-20,"Adults",151
"1/12/2026","SARI",5-11-20,"Overall",338
"1/12/2026","SARI",5-11-20,"Pediatrics",187
"1/12/2026","SARI",6-01-20,"Adults",524
"1/12/2026","SARI",6-01-20,"Overall",1053
"1/12/2026","SARI",6-01-20,"Pediatrics",529
"1/12/2026","SARI",6-03-20,"Adults",182
"1/12/2026","SARI",6-03-20,"Overall",706
"1/12/2026","SARI",6-03-20,"Pediatrics",524
"1/12/2026","SARI",6-04-20,"Adults",457
"1/12/2026","SARI",6-04-20,"Overall",925
"1/12/2026","SARI",6-04-20,"Pediatrics",468
"1/12/2026","SARI",6-07-20,"Adults",515
"1/12/2026","SARI",6-07-20,"Overall",1046
"1/12/2026","SARI",6-07-20,"Pediatrics",531
"1/12/2026","SARI",6-08-20,"Adults",553
"1/12/2026","SARI",6-08-20,"Overall",1270
"1/12/2026","SARI",6-08-20,"Pediatrics",717
"1/12/2026","SARI",6-10-20,"Adults",190
"1/12/2026","SARI",6-10-20,"Overall",742
"1/12/2026","SARI",6-10-20,"Pediatrics",552
"1/12/2026","SARI",6-11-20,"Adults",482
"1/12/2026","SARI",6-11-20,"Overall",1042
"1/12/2026","SARI",6-11-20,"Pediatrics",560
"1/12/2026","SARI",7-01-20,"Adults",257
"1/12/2026","SARI",7-01-20,"Overall",675
"1/12/2026","SARI",7-01-20,"Pediatrics",418
"1/12/2026","SARI",7-02-20,"Adults",483
"1/12/2026","SARI",7-02-20,"Overall",871
"1/12/2026","SARI",7-02-20,"Pediatrics",388
"1/12/2026","SARI",7-05-20,"Adults",414
"1/12/2026","SARI",7-05-20,"Overall",960
"1/12/2026","SARI",7-05-20,"Pediatrics",546
"1/12/2026","SARI",7-06-20,"Adults",317
"1/12/2026","SARI",7-06-20,"Overall",891
"1/12/2026","SARI",7-06-20,"Pediatrics",574
"1/12/2026","SARI",7-08-20,"Adults",229
"1/12/2026","SARI",7-08-20,"Overall",582
"1/12/2026","SARI",7-08-20,"Pediatrics",353
"1/12/2026","SARI",7-09-20,"Adults",440
"1/12/2026","SARI",7-09-20,"Overall",868
"1/12/2026","SARI",7-09-20,"Pediatrics",428
"1/12/2026","SARI",7-12-20,"Adults",318
"1/12/2026","SARI",7-12-20,"Overall",833
"1/12/2026","SARI",7-12-20,"Pediatrics",515
"1/12/2026","SARI",8-02-20,"Adults",176
"1/12/2026","SARI",8-02-20,"Overall",725
"1/12/2026","SARI",8-02-20,"Pediatrics",549
"1/12/2026","SARI",8-03-20,"Adults",209
"1/12/2026","SARI",8-03-20,"Overall",662
"1/12/2026","SARI",8-03-20,"Pediatrics",453
"1/12/2026","SARI",8-05-20,"Adults",176
"1/12/2026","SARI",8-05-20,"Overall",391
"1/12/2026","SARI",8-05-20,"Pediatrics",215
"1/12/2026","SARI",8-06-20,"Adults",403
"1/12/2026","SARI",8-06-20,"Overall",675
"1/12/2026","SARI",8-06-20,"Pediatrics",272
"1/12/2026","SARI",8-09-20,"Adults",187
"1/12/2026","SARI",8-09-20,"Overall",694
"1/12/2026","SARI",8-09-20,"Pediatrics",507
"1/12/2026","SARI",8-10-20,"Adults",184
"1/12/2026","SARI",8-10-20,"Overall",668
"1/12/2026","SARI",8-10-20,"Pediatrics",484
"1/12/2026","SARI",8-12-20,"Adults",147
"1/12/2026","SARI",8-12-20,"Overall",409
"1/12/2026","SARI",8-12-20,"Pediatrics",262
"1/12/2026","SARI",9-02-20,"Adults",191
"1/12/2026","SARI",9-02-20,"Overall",443
"1/12/2026","SARI",9-02-20,"Pediatrics",252
"1/12/2026","SARI",9-03-20,"Adults",282
"1/12/2026","SARI",9-03-20,"Overall",611
"1/12/2026","SARI",9-03-20,"Pediatrics",329
"1/12/2026","SARI",9-06-20,"Adults",163
"1/12/2026","SARI",9-06-20,"Overall",590
"1/12/2026","SARI",9-06-20,"Pediatrics",427
"1/12/2026","SARI",9-07-20,"Adults",210
"1/12/2026","SARI",9-07-20,"Overall",718
"1/12/2026","SARI",9-07-20,"Pediatrics",508
"1/12/2026","SARI",9-09-20,"Adults",184
"1/12/2026","SARI",9-09-20,"Overall",417
"1/12/2026","SARI",9-09-20,"Pediatrics",233
"1/12/2026","SARI",9-10-20,"Adults",305
"1/12/2026","SARI",9-10-20,"Overall",616
"1/12/2026","SARI",9-10-20,"Pediatrics",311
"1/12/2026","SARI",10-01-20,"Adults",255
"1/12/2026","SARI",10-01-20,"Overall",561
"1/12/2026","SARI",10-01-20,"Pediatrics",306
"1/12/2026","SARI",10-04-20,"Adults",125
"1/12/2026","SARI",10-04-20,"Overall",424
"1/12/2026","SARI",10-04-20,"Pediatrics",299
"1/12/2026","SARI",10-05-20,"Adults",199
"1/12/2026","SARI",10-05-20,"Overall",511
"1/12/2026","SARI",10-05-20,"Pediatrics",312
"1/12/2026","SARI",10-07-20,"Adults",111
"1/12/2026","SARI",10-07-20,"Overall",301
"1/12/2026","SARI",10-07-20,"Pediatrics",190
"1/12/2026","SARI",10-08-20,"Adults",208
"1/12/2026","SARI",10-08-20,"Overall",480
"1/12/2026","SARI",10-08-20,"Pediatrics",272
"1/12/2026","SARI",10-11-20,"Adults",109
"1/12/2026","SARI",10-11-20,"Overall",382
"1/12/2026","SARI",10-11-20,"Pediatrics",273
"1/12/2026","SARI",10-12-20,"Adults",151
"1/12/2026","SARI",10-12-20,"Overall",401
"1/12/2026","SARI",10-12-20,"Pediatrics",250
"1/12/2026","SARI",11-01-20,"Adults",98
"1/12/2026","SARI",11-01-20,"Overall",256
"1/12/2026","SARI",11-01-20,"Pediatrics",158
"1/12/2026","SARI",11-02-20,"Adults",116
"1/12/2026","SARI",11-02-20,"Overall",353
"1/12/2026","SARI",11-02-20,"Pediatrics",237
"1/12/2026","SARI",11-04-20,"Adults",81
"1/12/2026","SARI",11-04-20,"Overall",210
"1/12/2026","SARI",11-04-20,"Pediatrics",129
"1/12/2026","SARI",11-05-20,"Adults",230
"1/12/2026","SARI",11-05-20,"Overall",481
"1/12/2026","SARI",11-05-20,"Pediatrics",251
"1/12/2026","SARI",11-08-20,"Adults",89
"1/12/2026","SARI",11-08-20,"Overall",306
"1/12/2026","SARI",11-08-20,"Pediatrics",217
"1/12/2026","SARI",11-09-20,"Adults",102
"1/12/2026","SARI",11-09-20,"Overall",259
"1/12/2026","SARI",11-09-20,"Pediatrics",157
"1/12/2026","SARI",11-11-20,"Adults",85
"1/12/2026","SARI",11-11-20,"Overall",201
"1/12/2026","SARI",11-11-20,"Pediatrics",116
"1/12/2026","SARI",11-12-20,"Adults",194
"1/12/2026","SARI",11-12-20,"Overall",433
"1/12/2026","SARI",11-12-20,"Pediatrics",239
"1/12/2026","SARI",12-02-20,"Adults",70
"1/12/2026","SARI",12-02-20,"Overall",168
"1/12/2026","SARI",12-02-20,"Pediatrics",98
"1/12/2026","SARI",12-03-20,"Adults",189
"1/12/2026","SARI",12-03-20,"Overall",323
"1/12/2026","SARI",12-03-20,"Pediatrics",134
"1/12/2026","SARI",12-06-20,"Adults",78
"1/12/2026","SARI",12-06-20,"Overall",176
"1/12/2026","SARI",12-06-20,"Pediatrics",98
"1/12/2026","SARI",12-07-20,"Adults",86
"1/12/2026","SARI",12-07-20,"Overall",197
"1/12/2026","SARI",12-07-20,"Pediatrics",111
"1/12/2026","SARI",12-09-20,"Adults",64
"1/12/2026","SARI",12-09-20,"Overall",130
"1/12/2026","SARI",12-09-20,"Pediatrics",66
"1/12/2026","SARI",12-10-20,"Adults",285
"1/12/2026","SARI",12-10-20,"Overall",408
"1/12/2026","SARI",12-10-20,"Pediatrics",123
"1/12/2026","SARI",NA,"Adults",1251
"1/12/2026","SARI",NA,"Adults",1113
"1/12/2026","SARI",NA,"Adults",769
"1/12/2026","SARI",NA,"Adults",473
"1/12/2026","SARI",NA,"Adults",430
"1/12/2026","SARI",NA,"Adults",518
"1/12/2026","SARI",NA,"Adults",437
"1/12/2026","SARI",NA,"Adults",302
"1/12/2026","SARI",NA,"Adults",271
"1/12/2026","SARI",NA,"Adults",267
"1/12/2026","SARI",NA,"Adults",343
"1/12/2026","SARI",NA,"Adults",394
"1/12/2026","SARI",NA,"Adults",419
"1/12/2026","SARI",NA,"Adults",429
"1/12/2026","SARI",NA,"Adults",416
"1/12/2026","SARI",NA,"Adults",462
"1/12/2026","SARI",NA,"Adults",490
"1/12/2026","SARI",NA,"Adults",422
"1/12/2026","SARI",NA,"Adults",348
"1/12/2026","SARI",NA,"Adults",307
"1/12/2026","SARI",NA,"Adults",286
"1/12/2026","SARI",NA,"Adults",235
"1/12/2026","SARI",NA,"Adults",242
"1/12/2026","SARI",NA,"Adults",272
"1/12/2026","SARI",NA,"Adults",267
"1/12/2026","SARI",NA,"Adults",223
"1/12/2026","SARI",NA,"Adults",161
"1/12/2026","SARI",NA,"Adults",152
"1/12/2026","SARI",NA,"Adults",309
"1/12/2026","SARI",NA,"Adults",357
"1/12/2026","SARI",NA,"Adults",324
"1/12/2026","SARI",NA,"Adults",237
"1/12/2026","SARI",NA,"Adults",195
"1/12/2026","SARI",NA,"Adults",135
"1/12/2026","SARI",NA,"Adults",107
"1/12/2026","SARI",NA,"Adults",100
"1/12/2026","SARI",NA,"Adults",92
"1/12/2026","SARI",NA,"Adults",83
"1/12/2026","SARI",NA,"Adults",102
"1/12/2026","SARI",NA,"Adults",91
"1/12/2026","SARI",NA,"Adults",92
"1/12/2026","SARI",NA,"Adults",118
"1/12/2026","SARI",NA,"Adults",113
"1/12/2026","SARI",NA,"Adults",119
"1/12/2026","SARI",NA,"Adults",196
"1/12/2026","SARI",NA,"Adults",264
"1/12/2026","SARI",NA,"Adults",191
"1/12/2026","SARI",NA,"Adults",188
"1/12/2026","SARI",NA,"Adults",153
"1/12/2026","SARI",NA,"Adults",164
"1/12/2026","SARI",NA,"Adults",178
"1/12/2026","SARI",NA,"Adults",175
"1/12/2026","SARI",NA,"Adults",170
"1/12/2026","SARI",NA,"Adults",109
"1/12/2026","SARI",NA,"Adults",114
"1/12/2026","SARI",NA,"Adults",114
"1/12/2026","SARI",NA,"Adults",75
"1/12/2026","SARI",NA,"Adults",79
"1/12/2026","SARI",NA,"Adults",74
"1/12/2026","SARI",NA,"Adults",66
"1/12/2026","SARI",NA,"Adults",56
"1/12/2026","SARI",NA,"Adults",46
"1/12/2026","SARI",NA,"Adults",126
"1/12/2026","SARI",NA,"Adults",165
"1/12/2026","SARI",NA,"Adults",160
"1/12/2026","SARI",NA,"Adults",114
"1/12/2026","SARI",NA,"Adults",120
"1/12/2026","SARI",NA,"Adults",94
"1/12/2026","SARI",NA,"Adults",92
"1/12/2026","SARI",NA,"Adults",96
"1/12/2026","SARI",NA,"Adults",95
"1/12/2026","SARI",NA,"Adults",107
"1/12/2026","SARI",NA,"Adults",97
"1/12/2026","SARI",NA,"Adults",230
"1/12/2026","SARI",NA,"Adults",333
"1/12/2026","SARI",NA,"Adults",454
"1/12/2026","SARI",NA,"Adults",315
"1/12/2026","SARI",NA,"Adults",277
"1/12/2026","SARI",NA,"Adults",251
"1/12/2026","SARI",NA,"Adults",299
"1/12/2026","SARI",NA,"Adults",229
"1/12/2026","SARI",NA,"Adults",172
"1/12/2026","SARI",NA,"Adults",175
"1/12/2026","SARI",NA,"Adults",174
"1/12/2026","SARI",NA,"Adults",194
"1/12/2026","SARI",NA,"Adults",178
"1/12/2026","SARI",NA,"Adults",159
"1/12/2026","SARI",NA,"Adults",165
"1/12/2026","SARI",NA,"Adults",131
"1/12/2026","SARI",NA,"Adults",112
"1/12/2026","SARI",NA,"Adults",84
"1/12/2026","SARI",NA,"Adults",73
"1/12/2026","SARI",NA,"Adults",90
"1/12/2026","SARI",NA,"Adults",88
"1/12/2026","SARI",NA,"Adults",60
"1/12/2026","SARI",NA,"Adults",78
"1/12/2026","SARI",NA,"Adults",81
"1/12/2026","SARI",NA,"Adults",90
"1/12/2026","SARI",NA,"Adults",86
"1/12/2026","SARI",NA,"Adults",117
"1/12/2026","SARI",NA,"Adults",158
"1/12/2026","SARI",NA,"Adults",156
"1/12/2026","SARI",NA,"Adults",153
"1/12/2026","SARI",NA,"Adults",207
"1/12/2026","SARI",NA,"Adults",235
"1/12/2026","SARI",NA,"Adults",291
"1/12/2026","SARI",NA,"Adults",347
"1/12/2026","SARI",NA,"Adults",582
"1/12/2026","SARI",NA,"Adults",503
"1/12/2026","SARI",NA,"Adults",457
"1/12/2026","SARI",NA,"Adults",222
"1/12/2026","SARI",NA,"Adults",170
"1/12/2026","SARI",NA,"Adults",159
"1/12/2026","SARI",NA,"Adults",168
"1/12/2026","SARI",NA,"Adults",146
"1/12/2026","SARI",NA,"Adults",163
"1/12/2026","SARI",NA,"Adults",156
"1/12/2026","SARI",NA,"Adults",131
"1/12/2026","SARI",NA,"Adults",118
"1/12/2026","SARI",NA,"Adults",116
"1/12/2026","SARI",NA,"Adults",112
"1/12/2026","SARI",NA,"Adults",74
"1/12/2026","SARI",NA,"Adults",60
"1/12/2026","SARI",NA,"Adults",82
"1/12/2026","SARI",NA,"Adults",47
"1/12/2026","SARI",NA,"Overall",1423
"1/12/2026","SARI",NA,"Overall",1303
"1/12/2026","SARI",NA,"Overall",907
"1/12/2026","SARI",NA,"Overall",604
"1/12/2026","SARI",NA,"Overall",551
"1/12/2026","SARI",NA,"Overall",772
"1/12/2026","SARI",NA,"Overall",633
"1/12/2026","SARI",NA,"Overall",511
"1/12/2026","SARI",NA,"Overall",496
"1/12/2026","SARI",NA,"Overall",547
"1/12/2026","SARI",NA,"Overall",761
"1/12/2026","SARI",NA,"Overall",898
"1/12/2026","SARI",NA,"Overall",846
"1/12/2026","SARI",NA,"Overall",918
"1/12/2026","SARI",NA,"Overall",824
"1/12/2026","SARI",NA,"Overall",821
"1/12/2026","SARI",NA,"Overall",833
"1/12/2026","SARI",NA,"Overall",701
"1/12/2026","SARI",NA,"Overall",652
"1/12/2026","SARI",NA,"Overall",655
"1/12/2026","SARI",NA,"Overall",595
"1/12/2026","SARI",NA,"Overall",525
"1/12/2026","SARI",NA,"Overall",502
"1/12/2026","SARI",NA,"Overall",545
"1/12/2026","SARI",NA,"Overall",591
"1/12/2026","SARI",NA,"Overall",501
"1/12/2026","SARI",NA,"Overall",329
"1/12/2026","SARI",NA,"Overall",282
"1/12/2026","SARI",NA,"Overall",457
"1/12/2026","SARI",NA,"Overall",465
"1/12/2026","SARI",NA,"Overall",407
"1/12/2026","SARI",NA,"Overall",359
"1/12/2026","SARI",NA,"Overall",304
"1/12/2026","SARI",NA,"Overall",226
"1/12/2026","SARI",NA,"Overall",204
"1/12/2026","SARI",NA,"Overall",200
"1/12/2026","SARI",NA,"Overall",249
"1/12/2026","SARI",NA,"Overall",238
"1/12/2026","SARI",NA,"Overall",297
"1/12/2026","SARI",NA,"Overall",320
"1/12/2026","SARI",NA,"Overall",415
"1/12/2026","SARI",NA,"Overall",544
"1/12/2026","SARI",NA,"Overall",596
"1/12/2026","SARI",NA,"Overall",680
"1/12/2026","SARI",NA,"Overall",633
"1/12/2026","SARI",NA,"Overall",703
"1/12/2026","SARI",NA,"Overall",524
"1/12/2026","SARI",NA,"Overall",451
"1/12/2026","SARI",NA,"Overall",379
"1/12/2026","SARI",NA,"Overall",404
"1/12/2026","SARI",NA,"Overall",408
"1/12/2026","SARI",NA,"Overall",434
"1/12/2026","SARI",NA,"Overall",396
"1/12/2026","SARI",NA,"Overall",290
"1/12/2026","SARI",NA,"Overall",305
"1/12/2026","SARI",NA,"Overall",278
"1/12/2026","SARI",NA,"Overall",191
"1/12/2026","SARI",NA,"Overall",192
"1/12/2026","SARI",NA,"Overall",168
"1/12/2026","SARI",NA,"Overall",135
"1/12/2026","SARI",NA,"Overall",102
"1/12/2026","SARI",NA,"Overall",87
"1/12/2026","SARI",NA,"Overall",197
"1/12/2026","SARI",NA,"Overall",247
"1/12/2026","SARI",NA,"Overall",253
"1/12/2026","SARI",NA,"Overall",176
"1/12/2026","SARI",NA,"Overall",176
"1/12/2026","SARI",NA,"Overall",213
"1/12/2026","SARI",NA,"Overall",209
"1/12/2026","SARI",NA,"Overall",207
"1/12/2026","SARI",NA,"Overall",198
"1/12/2026","SARI",NA,"Overall",212
"1/12/2026","SARI",NA,"Overall",241
"1/12/2026","SARI",NA,"Overall",557
"1/12/2026","SARI",NA,"Overall",746
"1/12/2026","SARI",NA,"Overall",1031
"1/12/2026","SARI",NA,"Overall",832
"1/12/2026","SARI",NA,"Overall",825
"1/12/2026","SARI",NA,"Overall",830
"1/12/2026","SARI",NA,"Overall",877
"1/12/2026","SARI",NA,"Overall",707
"1/12/2026","SARI",NA,"Overall",645
"1/12/2026","SARI",NA,"Overall",642
"1/12/2026","SARI",NA,"Overall",596
"1/12/2026","SARI",NA,"Overall",616
"1/12/2026","SARI",NA,"Overall",598
"1/12/2026","SARI",NA,"Overall",492
"1/12/2026","SARI",NA,"Overall",424
"1/12/2026","SARI",NA,"Overall",394
"1/12/2026","SARI",NA,"Overall",284
"1/12/2026","SARI",NA,"Overall",242
"1/12/2026","SARI",NA,"Overall",221
"1/12/2026","SARI",NA,"Overall",202
"1/12/2026","SARI",NA,"Overall",151
"1/12/2026","SARI",NA,"Overall",113
"1/12/2026","SARI",NA,"Overall",150
"1/12/2026","SARI",NA,"Overall",163
"1/12/2026","SARI",NA,"Overall",170
"1/12/2026","SARI",NA,"Overall",164
"1/12/2026","SARI",NA,"Overall",227
"1/12/2026","SARI",NA,"Overall",320
"1/12/2026","SARI",NA,"Overall",325
"1/12/2026","SARI",NA,"Overall",334
"1/12/2026","SARI",NA,"Overall",378
"1/12/2026","SARI",NA,"Overall",486
"1/12/2026","SARI",NA,"Overall",607
"1/12/2026","SARI",NA,"Overall",710
"1/12/2026","SARI",NA,"Overall",1092
"1/12/2026","SARI",NA,"Overall",1009
"1/12/2026","SARI",NA,"Overall",913
"1/12/2026","SARI",NA,"Overall",796
"1/12/2026","SARI",NA,"Overall",663
"1/12/2026","SARI",NA,"Overall",698
"1/12/2026","SARI",NA,"Overall",708
"1/12/2026","SARI",NA,"Overall",600
"1/12/2026","SARI",NA,"Overall",570
"1/12/2026","SARI",NA,"Overall",518
"1/12/2026","SARI",NA,"Overall",429
"1/12/2026","SARI",NA,"Overall",341
"1/12/2026","SARI",NA,"Overall",337
"1/12/2026","SARI",NA,"Overall",264
"1/12/2026","SARI",NA,"Overall",211
"1/12/2026","SARI",NA,"Overall",168
"1/12/2026","SARI",NA,"Overall",172
"1/12/2026","SARI",NA,"Overall",104
"1/12/2026","SARI",NA,"Pediatrics",172
"1/12/2026","SARI",NA,"Pediatrics",190
"1/12/2026","SARI",NA,"Pediatrics",138
"1/12/2026","SARI",NA,"Pediatrics",131
"1/12/2026","SARI",NA,"Pediatrics",121
"1/12/2026","SARI",NA,"Pediatrics",254
"1/12/2026","SARI",NA,"Pediatrics",196
"1/12/2026","SARI",NA,"Pediatrics",209
"1/12/2026","SARI",NA,"Pediatrics",225
"1/12/2026","SARI",NA,"Pediatrics",280
"1/12/2026","SARI",NA,"Pediatrics",418
"1/12/2026","SARI",NA,"Pediatrics",504
"1/12/2026","SARI",NA,"Pediatrics",427
"1/12/2026","SARI",NA,"Pediatrics",489
"1/12/2026","SARI",NA,"Pediatrics",408
"1/12/2026","SARI",NA,"Pediatrics",359
"1/12/2026","SARI",NA,"Pediatrics",343
"1/12/2026","SARI",NA,"Pediatrics",279
"1/12/2026","SARI",NA,"Pediatrics",304
"1/12/2026","SARI",NA,"Pediatrics",348
"1/12/2026","SARI",NA,"Pediatrics",309
"1/12/2026","SARI",NA,"Pediatrics",290
"1/12/2026","SARI",NA,"Pediatrics",260
"1/12/2026","SARI",NA,"Pediatrics",273
"1/12/2026","SARI",NA,"Pediatrics",324
"1/12/2026","SARI",NA,"Pediatrics",278
"1/12/2026","SARI",NA,"Pediatrics",168
"1/12/2026","SARI",NA,"Pediatrics",130
"1/12/2026","SARI",NA,"Pediatrics",148
"1/12/2026","SARI",NA,"Pediatrics",108
"1/12/2026","SARI",NA,"Pediatrics",83
"1/12/2026","SARI",NA,"Pediatrics",122
"1/12/2026","SARI",NA,"Pediatrics",109
"1/12/2026","SARI",NA,"Pediatrics",91
"1/12/2026","SARI",NA,"Pediatrics",97
"1/12/2026","SARI",NA,"Pediatrics",100
"1/12/2026","SARI",NA,"Pediatrics",157
"1/12/2026","SARI",NA,"Pediatrics",155
"1/12/2026","SARI",NA,"Pediatrics",195
"1/12/2026","SARI",NA,"Pediatrics",229
"1/12/2026","SARI",NA,"Pediatrics",323
"1/12/2026","SARI",NA,"Pediatrics",426
"1/12/2026","SARI",NA,"Pediatrics",483
"1/12/2026","SARI",NA,"Pediatrics",561
"1/12/2026","SARI",NA,"Pediatrics",437
"1/12/2026","SARI",NA,"Pediatrics",439
"1/12/2026","SARI",NA,"Pediatrics",333
"1/12/2026","SARI",NA,"Pediatrics",263
"1/12/2026","SARI",NA,"Pediatrics",226
"1/12/2026","SARI",NA,"Pediatrics",240
"1/12/2026","SARI",NA,"Pediatrics",230
"1/12/2026","SARI",NA,"Pediatrics",259
"1/12/2026","SARI",NA,"Pediatrics",226
"1/12/2026","SARI",NA,"Pediatrics",181
"1/12/2026","SARI",NA,"Pediatrics",191
"1/12/2026","SARI",NA,"Pediatrics",164
"1/12/2026","SARI",NA,"Pediatrics",116
"1/12/2026","SARI",NA,"Pediatrics",113
"1/12/2026","SARI",NA,"Pediatrics",94
"1/12/2026","SARI",NA,"Pediatrics",69
"1/12/2026","SARI",NA,"Pediatrics",46
"1/12/2026","SARI",NA,"Pediatrics",41
"1/12/2026","SARI",NA,"Pediatrics",71
"1/12/2026","SARI",NA,"Pediatrics",82
"1/12/2026","SARI",NA,"Pediatrics",93
"1/12/2026","SARI",NA,"Pediatrics",62
"1/12/2026","SARI",NA,"Pediatrics",56
"1/12/2026","SARI",NA,"Pediatrics",119
"1/12/2026","SARI",NA,"Pediatrics",117
"1/12/2026","SARI",NA,"Pediatrics",111
"1/12/2026","SARI",NA,"Pediatrics",103
"1/12/2026","SARI",NA,"Pediatrics",105
"1/12/2026","SARI",NA,"Pediatrics",144
"1/12/2026","SARI",NA,"Pediatrics",327
"1/12/2026","SARI",NA,"Pediatrics",413
"1/12/2026","SARI",NA,"Pediatrics",577
"1/12/2026","SARI",NA,"Pediatrics",517
"1/12/2026","SARI",NA,"Pediatrics",548
"1/12/2026","SARI",NA,"Pediatrics",579
"1/12/2026","SARI",NA,"Pediatrics",578
"1/12/2026","SARI",NA,"Pediatrics",478
"1/12/2026","SARI",NA,"Pediatrics",473
